startgps,_startgps_latitude,_startgps_longitude,_startgps_altitude,_startgps_precision,supervisor,supe_other,enumerator,enum_other,enumdate,region,district,ward,village,consent,agrodealer_name,hhgps,_hhgps_latitude,_hhgps_longitude,_hhgps_altitude,_hhgps_precision,hhgpsloc,hhgpsloco,phone,p1/p1_stock,p1/p1_brand,p1/p1_size,p1/p1_price,p2/p2_stock,p2/p2_brand,p2/p2_size,p2/p2_price,p3/p3_type,p3/p3_brand,p3/p3_size,p3/p3_price,p4/p4_stock,p4/p4_brand,p4/p4_size,p4/p4_price,p5/p5_stock,p5/p5_size,p5/p5_price,mkt1/yrsinbus,mkt1/neighbors,mkt1/stocksrc,mkt2/beiknown,mkt2/beienf,mkt2/beieffects,g_df/commentf,meta/instanceID,meta/instanceName,_id,_uuid,_submission_time,_date_modified,_tags,_notes,_version,_duration,_submitted_by,_total_media,_media_count,_media_all_received,_xform_id
-7.1604276 35.7693004 692.49365234375 4.8,-7.1604276,35.7693004,692.49365234375,4.8,s1,n/a,e01,n/a,2024-08-26T14:08:00.000+03:00,Iringa,Iringa_DC,Migori,Migori,1,Mariamu Ramadhan,-7.1603704 35.769297 697.04150390625 3.802,-7.1603704,35.769297,697.04150390625,3.802,1,n/a,0622879707,0,n/a,2,0,0,n/a,2,0,0,n/a,2,0,0,n/a,2,0,1,3,19000,1,2,n/a,n/a,n/a,n/a,"Does not sell fertiliser or lime but knows lime.
Other seller only sells animal products.",uuid:595c9b28-d919-4ac5-844d-75839e256710,TZA_prices_2024-2024-08-26-e01,152249971,595c9b28-d919-4ac5-844d-75839e256710,2024-08-26T11:14:44.421467+00:00,2024-08-26T11:14:44.512317+00:00,,,1,,,0,0,True,817551
-7.5886854 35.7701677 1346.797119140625 13.963,-7.5886854,35.7701677,1346.797119140625,13.963,s1,n/a,e01,n/a,2024-08-26T15:23:00.000+03:00,Iringa,Iringa_DC,n/a,Kising'a,1,Gloria,-7.5887925 35.7701895 1349.4005126953125 4.929,-7.5887925,35.7701895,1349.4005126953125,4.929,1,n/a,0744382616,1,One Acre Fund,3,63955,1,One Acre Fund,3,73955,1,CAN,3,n/a,1,Dodoma,3,11000,0,2,0,1,1,Iringa,n/a,n/a,n/a,"Subsidised fertiliser prices 

Sells lime.",uuid:ee38d0e9-f099-4d53-9d0f-67d23e9fee7c,TZA_prices_2024-2024-08-26-e01,152260951,ee38d0e9-f099-4d53-9d0f-67d23e9fee7c,2024-08-26T13:43:26.041656+00:00,2024-08-26T13:43:26.192864+00:00,,,1,,,0,0,True,817551
-7.8031842 35.601645 1558.0 7.996,-7.8031842,35.601645,1558.0,7.996,s1,n/a,e01,n/a,2024-08-26T17:08:00.000+03:00,Iringa,Iringa_DC,Kalenga,Kalenga,1,George Charles,-7.8031841 35.6016651 1451.490234375 4.893,-7.8031841,35.6016651,1451.490234375,4.893,1,n/a,0768256297,1,ETG,3,120000,1,ETG,3,135000,1,CAN - MO,3,105000,1,Dodoma,3,11000,1,3,17500,10,3,"Dodoma, Dar es Salaam, Iringa",n/a,n/a,n/a,"Prices before Subsidy program 
2021-2022.
Urea 50 kg 54, 000  2019 -2020",uuid:fa7bf0c4-d89c-4115-816a-6b26b9aee7e6,TZA_prices_2024-2024-08-26-e01,152264787,fa7bf0c4-d89c-4115-816a-6b26b9aee7e6,2024-08-26T15:04:33.557800+00:00,2024-08-26T15:04:33.668523+00:00,,,1,,,0,0,True,817551
-7.8031072 35.6015122 1407.6834716796875 10.516,-7.8031072,35.6015122,1407.6834716796875,10.516,s1,n/a,e01,n/a,2024-08-26T17:24:00.000+03:00,Iringa,Iringa_DC,Kalenga,Kalenga,1,Kevin kiputa,-7.8031656 35.6016507 1443.8834228515625 4.515,-7.8031656,35.6016507,1443.8834228515625,4.515,1,n/a,0718099196,1,"MO, stacko, tfc",3,63800,1,"MO, TFC",3,73800,1,CAN  - Mo,3,58800,0,n/a,2,0,1,3,17000,2,3,Iringa towm,n/a,n/a,n/a,Sells subsidised prices,uuid:1e3cae6b-f5d9-4a7b-a1ca-53d55e0863fe,TZA_prices_2024-2024-08-26-e01,152264788,1e3cae6b-f5d9-4a7b-a1ca-53d55e0863fe,2024-08-26T15:04:34.049047+00:00,2024-08-26T15:04:34.151584+00:00,,,1,,,0,0,True,817551
-7.7193018 35.530029 1447.1278076171875 4.902,-7.7193018,35.530029,1447.1278076171875,4.902,s1,n/a,e01,n/a,2024-08-26T17:49:00.000+03:00,Iringa,Iringa_DC,Nzi,Nzi,1,Veronica Nyondo,-7.7195493 35.5298818 1449.90966796875 4.819,-7.7195493,35.5298818,1449.90966796875,4.819,1,n/a,0744652432,1,"MO, Minjingu",3,64000,1,MO,3,74000,1,CAN,3,59000,0,n/a,2,0,1,3,17000,10,2,Iringa,n/a,n/a,n/a,"Urea - upto 120,000

DAP - upto 150,00

Before Subsidy program.",uuid:88f2a0fc-b4a7-4d93-b6e6-585d1697944e,TZA_prices_2024-2024-08-26-e01,152264789,88f2a0fc-b4a7-4d93-b6e6-585d1697944e,2024-08-26T15:04:34.456835+00:00,2024-08-26T15:04:34.555023+00:00,,,1,,,0,0,True,817551
-7.7192124 35.5295058 1453.6048583984375 5.431,-7.7192124,35.5295058,1453.6048583984375,5.431,s1,n/a,e01,n/a,2024-08-26T17:56:00.000+03:00,Iringa,Iringa_DC,Nzi,Nzi,1,Treysphony ngolley,-7.7192109 35.5294057 1427.24853515625 4.317,-7.7192109,35.5294057,1427.24853515625,4.317,1,n/a,0766126424,1,"ETG, stacko, yara",2,28000,1,"Yara, ETG",2,32000,1,CAN,2,26000,0,n/a,2,0,1,2,0,8,3,Iringa town,n/a,n/a,n/a,"Prices before Subsidy program.
Urea prices ranged from 28,000 - 40,000",uuid:582f68c6-cc2e-4cd0-8592-4a37ecbe4847,TZA_prices_2024-2024-08-26-e01,152264790,582f68c6-cc2e-4cd0-8592-4a37ecbe4847,2024-08-26T15:04:34.936114+00:00,2024-08-26T15:04:35.032647+00:00,,,1,,,0,0,True,817551
-7.9815789 35.8332458 1909.8779296875 20.76,-7.9815789,35.8332458,1909.8779296875,20.76,s1,n/a,e01,n/a,2024-08-27T09:54:00.000+03:00,Iringa,Kilolo_DC,Mtitu,Luganga,1,Subira,-7.9816115 35.8332288 1924.562744140625 4.908,-7.9816115,35.8332288,1924.562744140625,4.908,1,n/a,0755331223,1,"Yara , ETG, OCP, MO",3,64000,1,"ETG, Yara, OCP, Mo",3,74000,1,CAN - TSP,3,59000,1,Dodoma,3,14000,1,3,18000,6,4,"Dodoma, Dar es Salaam, Iringa",n/a,n/a,n/a,"5kg Urea - 13,000
CAN 5kg - 12,000
DAP 5kg - 15,000
SA 5kg - 10, 000
SA 50kg - 44,000

Like prices for 2024.",uuid:c89ce14b-a5eb-4985-bcf4-46d891ec52d8,TZA_prices_2024-2024-08-27-e01,152398178,c89ce14b-a5eb-4985-bcf4-46d891ec52d8,2024-08-27T12:02:47.327883+00:00,2024-08-27T12:02:47.440270+00:00,,,1,,,0,0,True,817551
-7.9816772 35.8331927 1920.19189453125 9.256,-7.9816772,35.8331927,1920.19189453125,9.256,s1,n/a,e01,n/a,2024-08-27T10:04:00.000+03:00,Iringa,Kilolo_DC,Mtitu,Luganga,1,Paul,-7.9816209 35.8332373 1915.84375 4.921,-7.9816209,35.8332373,1915.84375,4.921,1,n/a,0749262899,1,"ETG, Yara",3,63700,1,"ETG, Yara",3,73700,1,CAN ETG,3,58700,1,Dodoma,3,11500,1,2,0,4,4,"Dodoma, Dar es Salaam, Iringa",n/a,n/a,n/a,"Subsidised prices of fertiliser.
Lime prices for 2022",uuid:91a29741-10cb-4f4b-9028-b9c1d374caff,TZA_prices_2024-2024-08-27-e01,152398180,91a29741-10cb-4f4b-9028-b9c1d374caff,2024-08-27T12:02:47.755459+00:00,2024-08-27T12:02:47.850872+00:00,,,1,,,0,0,True,817551
-7.9834096 35.8345304 1926.446533203125 5.538,-7.9834096,35.8345304,1926.446533203125,5.538,s1,n/a,e01,n/a,2024-08-27T10:13:00.000+03:00,Iringa,Kilolo_DC,Mtito,Luganga,1,Evance msofu,-7.9832983 35.8346419 1923.20068359375 4.926,-7.9832983,35.8346419,1923.20068359375,4.926,1,n/a,0673958295,1,ETG,3,63000,1,ETG,3,73000,1,CAN,3,53000,1,Dodoma,2,15000,1,3,18000,7,4,"Iringa town, Dodoma",n/a,n/a,n/a,"Looking to sell lime soon. Will sell for 15,000 25 kgs. Already ordered lime.
5kg Urea - 12,000
DAp 5kg - 15,000

Fertiliser prices for 2024.

Cement in the area 32.5N - 18,00
42.5N -20,500",uuid:3811e4e1-30d7-4346-94c8-779e59a1b359,TZA_prices_2024-2024-08-27-e01,152398181,3811e4e1-30d7-4346-94c8-779e59a1b359,2024-08-27T12:02:48.191850+00:00,2024-08-27T12:02:48.289320+00:00,,,1,,,0,0,True,817551
-8.0046728 35.8435252 1860.643310546875 8.946,-8.0046728,35.8435252,1860.643310546875,8.946,s1,n/a,e01,n/a,2024-08-27T10:30:00.000+03:00,Iringa,Kilolo_DC,Mtitu,Kilolo,1,Joseph Makweta,-8.0047104 35.8434248 1852.40625 4.929,-8.0047104,35.8434248,1852.40625,4.929,1,n/a,0754774600,1,Stacko,2,0,1,Falcon,2,0,1,CAN - staco,2,0,0,n/a,2,0,1,3,19500,5,5,Iringa town,n/a,n/a,n/a,"5kg Urea - 13,000
5kg DAP -15,000
5kg CAN - 12,000",uuid:c9cb13a7-01af-433e-9711-90023060f071,TZA_prices_2024-2024-08-27-e01,152398183,c9cb13a7-01af-433e-9711-90023060f071,2024-08-27T12:02:48.625067+00:00,2024-08-27T12:02:48.720405+00:00,,,1,,,0,0,True,817551
-8.0036255 35.8438549 1862.0556640625 9.721,-8.0036255,35.8438549,1862.0556640625,9.721,s1,n/a,e01,n/a,2024-08-27T10:39:00.000+03:00,Iringa,Kilolo_DC,Mtitu,Kilolo,1,Samuel,-8.0036008 35.843941 1866.89013671875 4.306,-8.0036008,35.843941,1866.89013671875,4.306,1,n/a,0712397593,1,One Acre Fund,3,63700,1,One Acre Fund,3,73700,1,CAN,3,58700,1,Dodoma,3,11000,1,3,19000,3,5,Iringa town,n/a,n/a,n/a,Subsidised prices of fertiliser.,uuid:c777adc5-a70e-4863-86f5-917584637f12,TZA_prices_2024-2024-08-27-e01,152398184,c777adc5-a70e-4863-86f5-917584637f12,2024-08-27T12:02:49.021081+00:00,2024-08-27T12:02:49.108744+00:00,,,1,,,0,0,True,817551
-8.0033935 35.8440733 1869.642578125 10.802,-8.0033935,35.8440733,1869.642578125,10.802,s1,n/a,e01,n/a,2024-08-27T10:46:00.000+03:00,Iringa,Kilolo_DC,Mtitu,Kilolo,1,Shuhudia,-8.0033941 35.8439533 1869.115966796875 4.604,-8.0033941,35.8439533,1869.115966796875,4.604,1,n/a,0762322940,1,ETG,3,63700,1,"MO, ETG, Falcon",3,73700,1,CAN,3,58700,0,n/a,2,0,1,3,19000,1,5,"Iringa, Dar es Salaam",n/a,n/a,n/a,"5kg Urea - 14,000
5kg DAP - 15,00
5kg CAN - 13,000
5kg price are not subsidised.

25kg and 50kg prices are subsided.",uuid:b4037f34-acaf-4b41-bf87-7f8624a8f3e4,TZA_prices_2024-2024-08-27-e01,152398185,b4037f34-acaf-4b41-bf87-7f8624a8f3e4,2024-08-27T12:02:49.402154+00:00,2024-08-27T12:02:49.495353+00:00,,,1,,,0,0,True,817551
-8.0992113 35.7710343 1877.7822265625 9.532,-8.0992113,35.7710343,1877.7822265625,9.532,s1,n/a,e01,n/a,2024-08-27T11:24:00.000+03:00,Iringa,Kilolo_DC,Ng'uruhe,Ng'uruhe,1,France,-8.0991858 35.7710673 1872.697265625 4.115,-8.0991858,35.7710673,1872.697265625,4.115,1,n/a,0613447296,1,"Yara, MO, ETG, Falcon",3,63000,1,"ETG, falcon,MO",3,73700,1,"CAN - ETG, falcon, MO",3,59000,0,n/a,2,0,1,3,0,1,4,"Dar es Salaam, Iringa",n/a,n/a,n/a,"5kg DAP - 15,000
5kg CAN - 13,000
5kg Urea - 14,000


5kg not subsidised prices.
50kg - Subsidised prices",uuid:dde9dc82-ac00-47a9-8d88-922201408d1a,TZA_prices_2024-2024-08-27-e01,152398186,dde9dc82-ac00-47a9-8d88-922201408d1a,2024-08-27T12:02:49.812899+00:00,2024-08-27T12:02:49.901441+00:00,,,1,,,0,0,True,817551
-8.0991432 35.7709827 1879.107421875 10.492,-8.0991432,35.7709827,1879.107421875,10.492,s1,n/a,e01,n/a,2024-08-27T11:37:00.000+03:00,Iringa,Kilolo_DC,Ng'uruhe,Ng'uruhe,1,Doreen,-8.0992423 35.7708383 1886.830322265625 4.765,-8.0992423,35.7708383,1886.830322265625,4.765,1,n/a,0716345528,1,Yara,3,74000,1,Yara,3,74000,1,CAN,3,59000,0,n/a,2,0,1,3,19000,2,5,Iringa town Yara depot,n/a,n/a,n/a,"5kg Urea - 15,000
5kg DAP - 15,000
5kg brand is Falcon.",uuid:b047f11a-82cb-4438-be38-ca05ff7c61d2,TZA_prices_2024-2024-08-27-e01,152398188,b047f11a-82cb-4438-be38-ca05ff7c61d2,2024-08-27T12:02:50.195541+00:00,2024-08-27T12:02:50.281678+00:00,,,1,,,0,0,True,817551
-8.0997065 35.7712174 1867.81640625 12.981,-8.0997065,35.7712174,1867.81640625,12.981,s1,n/a,e01,n/a,2024-08-27T11:45:00.000+03:00,Iringa,Kilolo_DC,Ng'uruhe,Ng'uruhe,1,Suzana Chuhila,-8.0996897 35.7712334 1871.114013671875 4.158,-8.0996897,35.7712334,1871.114013671875,4.158,1,n/a,0712979471,1,ETG,3,64000,1,"ETG, Falcon",3,74000,1,CAN ETG,3,59000,0,n/a,2,0,1,3,19000,4,5,Iringa,n/a,n/a,n/a,"Falcon
5kg DAP - 13,000",uuid:cf268801-b8a0-49df-9c49-3069e03505be,TZA_prices_2024-2024-08-27-e01,152398189,cf268801-b8a0-49df-9c49-3069e03505be,2024-08-27T12:02:50.586122+00:00,2024-08-27T12:02:50.676577+00:00,,,1,,,0,0,True,817551
-8.1019231 35.724379 1826.9423828125 6.945,-8.1019231,35.724379,1826.9423828125,6.945,s1,n/a,e01,n/a,2024-08-27T12:06:00.000+03:00,Iringa,Kilolo_DC,Ukumbi,Ukumbi,1,Faraja Alex,-8.1019004 35.7242994 1822.4560546875 4.655,-8.1019004,35.7242994,1822.4560546875,4.655,1,n/a,0679209008,0,n/a,2,0,1,Yara,3,74000,1,CAN,3,74000,0,n/a,2,0,1,3,20000,1,3,Iringa,n/a,n/a,n/a,Subsidised prices,uuid:bdb73a45-8d73-4431-ad4e-3596a6c2624b,TZA_prices_2024-2024-08-27-e01,152398191,bdb73a45-8d73-4431-ad4e-3596a6c2624b,2024-08-27T12:02:50.981381+00:00,2024-08-27T12:02:51.070272+00:00,,,1,,,0,0,True,817551
-7.8058065 35.7360568 1567.943115234375 5.187,-7.8058065,35.7360568,1567.943115234375,5.187,s1,n/a,e01,n/a,2024-08-27T13:38:00.000+03:00,Iringa,Iringa_DC,Ruaha,Tagamenda,1,Edna james,-7.805768 35.7360773 1567.6552734375 4.609,-7.805768,35.7360773,1567.6552734375,4.609,1,n/a,0754994424,1,ETG,3,65000,1,ETG,3,73500,1,CAN,3,50000,0,n/a,2,0,0,2,0,1,1,Iringa,n/a,n/a,n/a,Subsidised prices of fertiliser.,uuid:1726eea0-f23e-4bfc-8c3a-a3e7d8f5844e,TZA_prices_2024-2024-08-27-e01,152398193,1726eea0-f23e-4bfc-8c3a-a3e7d8f5844e,2024-08-27T12:02:51.376109+00:00,2024-08-27T12:02:51.473652+00:00,,,1,,,0,0,True,817551
-7.7905887 35.7024902 1510.2281494140625 12.17,-7.7905887,35.7024902,1510.2281494140625,12.17,s1,n/a,e01,n/a,2024-08-27T13:56:00.000+03:00,Iringa,Iringa_MC,Ruaha,Ipogolo,1,Batista sande,-7.7907259 35.7024916 1526.310546875 3.954,-7.7907259,35.7024916,1526.310546875,3.954,1,n/a,0699296578,1,"Yara, ETG",3,110000,1,"ETG, yara",3,115000,1,CAN,3,90000,0,n/a,2,0,1,3,17000,5,2,Iringa,n/a,n/a,n/a,"Prices before Subsidy program 
Urea 50kg - 70,000
DAP 50kg - 75,000
CAN 50kg - 60,000

Cement price range 17,000 - 20,000",uuid:e753a3b4-8def-4b10-a642-7f879305a704,TZA_prices_2024-2024-08-27-e01,152398194,e753a3b4-8def-4b10-a642-7f879305a704,2024-08-27T12:02:51.859922+00:00,2024-08-27T12:02:51.953607+00:00,,,1,,,0,0,True,817551
-7.7851099 35.815259 1610.75732421875 15.663,-7.7851099,35.815259,1610.75732421875,15.663,s1,n/a,e01,n/a,2024-08-27T15:13:00.000+03:00,Iringa,Kilolo_DC,Ilole,Lundamatwe,1,Lines pius,-7.7849906 35.8151577 1616.7734375 4.937,-7.7849906,35.8151577,1616.7734375,4.937,1,n/a,0744612627,1,"ETG, Falcon, Yara",3,73800,1,"ETG, Yara",3,73800,1,"CAN - Yara, ETG",3,58800,0,n/a,2,0,1,3,17500,1,1,Iringa,n/a,n/a,n/a,"Subsidised prices 2024.

32.5N cement prices.",uuid:408d7939-9fff-4dc8-a6d9-acef18a83d8b,TZA_prices_2024-2024-08-27-e01,152401384,408d7939-9fff-4dc8-a6d9-acef18a83d8b,2024-08-27T12:30:14.692391+00:00,2024-08-27T12:30:14.796830+00:00,,,1,,,0,0,True,817551
-7.7232566 35.9074362 1534.4000244140625 7.259,-7.7232566,35.9074362,1534.4000244140625,7.259,s1,n/a,e01,n/a,2024-08-27T15:38:00.000+03:00,Iringa,Kilolo_DC,Lugalo,Mbigili,1,Irene,-7.7231674 35.9073862 1534.4000244140625 4.638,-7.7231674,35.9073862,1534.4000244140625,4.638,1,n/a,0754522210,1,Falcon,3,65000,1,ETG,3,75000,1,CAN,3,60000,1,Mbeya,2,15000,1,2,0,5,2,"Iringa, Dar es Salaam, Mbeya",n/a,n/a,n/a,"5kg Urea - 9,000
5kg DAP - 10,000
5kg CAN - 9,000",uuid:00942320-ab00-496c-a4cb-a6afdd7992d2,TZA_prices_2024-2024-08-27-e01,152405938,00942320-ab00-496c-a4cb-a6afdd7992d2,2024-08-27T12:57:12.253580+00:00,2024-08-27T12:57:12.360775+00:00,,,1,,,0,0,True,817551
-7.7233678 35.9072779 1534.5 9.953,-7.7233678,35.9072779,1534.5,9.953,s1,n/a,e01,n/a,2024-08-27T16:03:00.000+03:00,Iringa,Kilolo_DC,Lugalo,Mbigili kati,1,Katalena denye,-7.7233121 35.9072004 1534.5 4.827,-7.7233121,35.9072004,1534.5,4.827,1,n/a,0699246612,1,ETG,3,n/a,1,ETG,2,0,0,n/a,2,0,0,n/a,2,0,1,3,17500,3,3,Iringa,n/a,n/a,n/a,"5kg Urea - 15,000
5kg DAP - 15,000

Not subsidised prices.",uuid:daf929cd-e863-4cec-9a1b-cae80695eb62,TZA_prices_2024-2024-08-27-e01,152407790,daf929cd-e863-4cec-9a1b-cae80695eb62,2024-08-27T13:12:10.923876+00:00,2024-08-27T13:12:11.032037+00:00,,,1,,,0,0,True,817551
-7.6940501 36.0237229 1390.699951171875 9.359,-7.6940501,36.0237229,1390.699951171875,9.359,s1,n/a,e01,n/a,2024-08-27T16:32:00.000+03:00,Iringa,Kilolo_DC,Nyarumbu,Ilula sokoni,1,Zaituni yohana,-7.6938213 36.0235937 1399.1744384765625 4.678,-7.6938213,36.0235937,1399.1744384765625,4.678,1,n/a,0785842042,0,n/a,2,0,0,n/a,2,0,0,n/a,2,0,0,n/a,2,0,1,2,18000,1,1,n/a,n/a,n/a,n/a,Does not sell fertiliser.,uuid:cf2050cc-86df-49c1-b257-9d857627a199,TZA_prices_2024-2024-08-27-e01,152416244,cf2050cc-86df-49c1-b257-9d857627a199,2024-08-27T13:39:52.487216+00:00,2024-08-27T13:39:52.592072+00:00,,,1,,,0,0,True,817551
-7.6897391 36.0308122 1396.8985595703125 4.704,-7.6897391,36.0308122,1396.8985595703125,4.704,s1,n/a,e01,n/a,2024-08-27T16:42:00.000+03:00,Iringa,Kilolo_DC,Nyarumbu,Matalawe,1,Mariamu,-7.6896822 36.0308038 1386.568603515625 3.983,-7.6896822,36.0308038,1386.568603515625,3.983,1,n/a,0686742848,1,Yara,3,60000,1,Yara,3,75000,1,CAN,2,60000,1,Baya,2,37000,1,2,19000,7,1,"Iringa, Dar es Salaam.",n/a,n/a,n/a,"Prices before Subsidies.
Lime prices for 2023. Stopped after Subsidy program.",uuid:886924f6-348d-42ba-b295-2fdf0204eaab,TZA_prices_2024-2024-08-27-e01,152423811,886924f6-348d-42ba-b295-2fdf0204eaab,2024-08-27T14:04:00.602169+00:00,2024-08-27T14:04:00.791444+00:00,,,1,,,0,0,True,817551
-7.6799548 36.0387475 1382.380126953125 4.638,-7.6799548,36.0387475,1382.380126953125,4.638,s1,n/a,e01,n/a,2024-08-27T17:07:00.000+03:00,Iringa,Kilolo_DC,Nyarumbu,Ilula mtua,1,Festo chitemasi,-7.6801554 36.038697 1362.81787109375 4.388,-7.6801554,36.038697,1362.81787109375,4.388,1,n/a,0769353119,0,n/a,2,0,0,n/a,2,0,0,n/a,2,0,0,n/a,2,0,1,3,17000,4,10,n/a,n/a,n/a,n/a,Does not sell fertiliser.,uuid:9a90ef5e-43ec-4055-8639-a8d8d5de8dd8,TZA_prices_2024-2024-08-27-e01,152425064,9a90ef5e-43ec-4055-8639-a8d8d5de8dd8,2024-08-27T14:14:11.995129+00:00,2024-08-27T14:14:12.095718+00:00,,,1,,,0,0,True,817551
-7.6791614 36.038775 1353.4000244140625 10.947,-7.6791614,36.038775,1353.4000244140625,10.947,s1,n/a,e01,n/a,2024-08-27T17:19:00.000+03:00,Iringa,Kilolo_DC,Nyarumbu,Ilula mtua,1,Tabitha,-7.6792154 36.0387393 1352.9000244140625 4.401,-7.6792154,36.0387393,1352.9000244140625,4.401,1,n/a,0679873340,1,Falcon,3,64000,1,"Falcon, MO",3,74000,1,CAN,3,74000,0,n/a,2,0,1,2,0,1,10,"Dar es Salaam, Iringa",n/a,n/a,n/a,Subsidised prices.,uuid:2d0cb880-3664-4c50-9b7a-a25c1de73577,TZA_prices_2024-2024-08-27-e01,152427575,2d0cb880-3664-4c50-9b7a-a25c1de73577,2024-08-27T14:44:33.979294+00:00,2024-08-27T14:44:34.094695+00:00,,,1,,,0,0,True,817551
-7.6787767 36.0399293 1353.4000244140625 10.009,-7.6787767,36.0399293,1353.4000244140625,10.009,s1,n/a,e01,n/a,2024-08-27T17:32:00.000+03:00,Iringa,Kilolo_DC,Nyarumbu,Ilula mtua,1,Bakita,-7.6787167 36.0395553 1353.4000244140625 4.963,-7.6787167,36.0395553,1353.4000244140625,4.963,1,n/a,0625712265,1,"Yara, falcon",3,74000,1,YARa,3,74000,1,CAN,3,59000,1,Tanga,3,45000,1,2,0,20,10,"Tanga, Dodoma, Iringa, Dar es Salaam",n/a,n/a,n/a,"50kg Lime from Dodoma is 13,000 because it's powder form.
50kg Lime from Tanga is 45,000 because it's in granules form.

Fertilizer prices are subsided.",uuid:3900e9e4-bc11-460c-abcf-f1962f658a25,TZA_prices_2024-2024-08-27-e01,152427578,3900e9e4-bc11-460c-abcf-f1962f658a25,2024-08-27T14:44:34.486367+00:00,2024-08-27T14:44:34.584133+00:00,,,1,,,0,0,True,817551
-7.678076 36.0375761 1355.2999267578125 6.831,-7.678076,36.0375761,1355.2999267578125,6.831,s1,n/a,e01,n/a,2024-08-27T17:56:00.000+03:00,Iringa,Kilolo_DC,Nyarumbu,Ilula Mtua,1,Fina mtenga,-7.6780777 36.0376066 1355.2999267578125 4.821,-7.6780777,36.0376066,1355.2999267578125,4.821,1,n/a,0748271849,1,"MO, yara",3,74000,1,"MO, OCP",3,74000,1,"CAN,",3,59000,1,Tanga,2,45000,1,3,0,4,5,"Dar es Salaam, Iringa",n/a,n/a,n/a,Used to sell lime before subsidy program (2021).,uuid:1ec9a4ca-60cc-4849-a918-dabaa934e8e3,TZA_prices_2024-2024-08-27-e01,152429257,1ec9a4ca-60cc-4849-a918-dabaa934e8e3,2024-08-27T15:08:43.139597+00:00,2024-08-27T15:08:43.252105+00:00,,,1,,,0,0,True,817551
-8.3003605 35.3012237 1905.199951171875 15.145,-8.3003605,35.3012237,1905.199951171875,15.145,s1,n/a,e01,n/a,2024-08-28T08:14:00.000+03:00,Iringa,Mafinga_TC,Wambi,Wambi ,1,Ephraim Emmanuel,-8.3003296 35.3011852 1831.699951171875 4.904,-8.3003296,35.3011852,1831.699951171875,4.904,1,n/a,0773697302,1,"Premium, Yara, MO",3,73500,1,"Falcon, MO, YARA, OCP",3,73500,1,CAAN plus Minjingu,3,63000,1,Dodoma,3,12000,1,3,18000,9,1,"Dodoma, Iringa, Dar es Salaam",n/a,n/a,n/a,"5kg Urea - 10,000
5kg DAP - 11,000
5kg CAN - 10,000

5kg prices are not subsidised.

Sells lime currently.",uuid:a9270704-9927-4be5-b2a3-4f082c987dca,TZA_prices_2024-2024-08-28-e01,152493902,a9270704-9927-4be5-b2a3-4f082c987dca,2024-08-28T05:45:47.623267+00:00,2024-08-28T05:45:47.740716+00:00,,,1,,,0,0,True,817551
-8.3021381 35.2959066 1853.5999755859375 23.505,-8.3021381,35.2959066,1853.5999755859375,23.505,s1,n/a,e01,n/a,2024-08-28T08:46:00.000+03:00,Iringa,Mafinga_TC,n/a,TFA,1,Mary Momo,-8.3021953 35.2959718 1856.199951171875 4.746,-8.3021953,35.2959718,1856.199951171875,4.746,1,n/a,0755446517,1,Yara,3,70000,1,n/a,3,54000,1,n/a,2,0,1,n/a,3,12000,0,2,0,10,7,n/a,n/a,n/a,n/a,"Stopped selling fertiliser after Subsidy program.
Prices given are before subsidy program.",uuid:e675e15c-2021-43d2-851b-60598040c1e8,TZA_prices_2024-2024-08-28-e01,152571592,e675e15c-2021-43d2-851b-60598040c1e8,2024-08-28T10:59:03.251744+00:00,2024-08-28T10:59:03.366862+00:00,,,1,,,0,0,True,817551
-8.3882607 35.1206741 1934.66796875 6.717,-8.3882607,35.1206741,1934.66796875,6.717,s1,n/a,e01,n/a,2024-08-28T10:38:00.000+03:00,Iringa,Mafinga_TC,Bumilayinga,Matanana,1,Salumu Joseph Hanana,-8.3881895 35.1207008 1935.048828125 4.445,-8.3881895,35.1207008,1935.048828125,4.445,1,n/a,0736752733,1,MO,3,64000,1,MO,3,74000,1,CAN,3,59000,0,n/a,2,0,1,3,19000,4,1,Dar es Salaam,n/a,n/a,n/a,"5kg Urea - 11,000
5kg DAP - 14,000
5kg SA - 9,000

Agro dealer says soil samples taken in the area have determined soil acidity problem but farmers still do not use lime due to lack of education.",uuid:0d13bd9f-577b-4060-b5a5-4f008857ffd7,TZA_prices_2024-2024-08-28-e01,152571593,0d13bd9f-577b-4060-b5a5-4f008857ffd7,2024-08-28T10:59:03.747156+00:00,2024-08-28T10:59:03.840978+00:00,,,1,,,0,0,True,817551
